id,tag,label,step,why,moods,keywords,time_cost_sec,source_name,source_url
breathing.box_60s,breathing,Box Breathing (1 min),"Inhale 4, hold 4, exhale 4, hold 4 — repeat 4 times.","Slows physiological arousal and steadies attention.","distress,anxiety,anger,sadness,neutral","breath,panic,calm,inhale,exhale,hold",60,NHS self-help,https://www.nhs.uk/mental-health/self-help/
breathing.paced_46_2m,breathing,Paced Breathing 4-6 (2 min),"Inhale for 4, exhale for 6. Continue for two minutes.","Lengthened exhale increases parasympathetic response.","anxiety,distress,neutral","breath,exhale,relax,longer",120,NICE,https://www.nice.org.uk/
breathing.alternate_nostril,breathing,Alternate Nostril Breathing (3 min),"Inhale through left nostril, exhale through right, alternate.","Balances nervous system activity.","distress,anxiety,neutral","breath,yoga,alternate",180,Yoga NHS,https://www.nhs.uk/live-well/exercise/
grounding.54321,grounding,5-4-3-2-1 Grounding,"Name 5 things you see, 4 you can touch, 3 you hear, 2 you smell, 1 you taste.","Anchors you in the present.","distress,anxiety,sadness","grounding,senses,present",120,Mind UK,https://www.mind.org.uk/
grounding.temperature,grounding,Temperature Reset (1 min),"Hold something cool or rinse wrists in cool water for 1 minute.","Sensory reset interrupts escalation.","distress,anxiety,anger","cool,cold,reset",60,DBT TIP skill,https://dbt.tools/skills/tip/
grounding.body_scan,grounding,Mini Body Scan (3 min),"Notice sensations in each body part from feet to head.","Builds awareness, reduces dissociation.","distress,sadness,neutral","scan,body,awareness",180,MBCT Oxford,https://www.oxfordmindfulness.org/
relaxation.pmr_7m,relaxation,Progressive Muscle Relaxation (7 min),"Tense and release each muscle group.","Reduces somatic tension.","anxiety,distress,neutral","pmr,relax,muscle",420,NICE,https://www.nice.org.uk/
relaxation.safe_place,relaxation,Safe Place Visualization,"Imagine a calming safe place with detail.","Eases anxiety via imagery.","anxiety,distress","visualization,safe,imagine",300,CBT self-help,https://www.apa.org/
activation.small_win,activation,Small Win Task (5 min),"Choose a task you can finish in 5 minutes.","Completing tasks builds momentum.","sadness,neutral","activation,motivation,task",300,Behavioral activation,https://www.nice.org.uk/
activation.values_step,activation,Values-Based Action,"Pick a small action aligned with your values.","Increases meaning and reduces avoidance.","sadness,neutral","values,meaning,action",240,ACT model,https://contextualscience.org/
walk.observation,walk,Short Walk (5 min),"Walk and notice three new details around you.","Movement regulates mood.","sadness,anger,neutral,joy","walk,observe,move",300,Liverpool coping,https://journals.plos.org/
walk.sunlight,walk,Walk in Sunlight,"Step outside for 10 minutes in daylight.","Supports circadian rhythm and mood.","sadness,sleep","walk,sunlight,daylight",600,NHS sleep advice,https://www.nhs.uk/
stretch.shoulders,stretch,Shoulder & Jaw Release (1 min),"Unclench your jaw; roll shoulders slowly.","Releases muscle tension.","anger,distress","stretch,jaw,shoulder",60,NHS MSK care,https://www.nhs.uk/
stretch.neck,stretch,Neck Stretch (2 min),"Tilt head gently side to side while breathing slowly.","Relieves stress tension.","distress,neutral","stretch,neck,relax",120,NHS physio,https://www.nhs.uk/
hydrate.glass,hydrate,Hydration Reset,"Drink a glass of water slowly.","Hydration supports clarity.","neutral,sadness","hydrate,water,reset",60,NHS,https://www.nhs.uk/
problem.active,active,Active Coping Step,"Pick one thing you can do immediately.","Action reduces helplessness.","distress,anxiety","action,solve,plan",300,Brief-COPE,https://www.ncbi.nlm.nih.gov/books/NBK559031/
planning.first_step,planning,First Step Planning,"Break your goal into micro-steps.","Eases overwhelm.","distress,anxiety,neutral","plan,step,start",180,Brief-COPE,https://www.ncbi.nlm.nih.gov/
